"CNTSCHID" "PV1MATH" "PV1READ" "PV1SCIE" "ESCS" "TMINS" "Region"
"14485" 82600016 413.459 384.818 371.394 -0.3734 1740 82611
"14486" 82600016 360.687 359.333 367.854 -1.1632 NA 82611
"14487" 82600016 440.399 391.413 431.972 -1.2511 NA 82611
"14488" 82600016 461.805 437.499 451.213 NA 1560 82611
"14489" 82600016 417.158 469.383 530.432 0.0836 NA 82611
"14490" 82600016 276.479 306.854 185.183 -0.3265 NA 82611
"14491" 82600016 564.774 676.156 594.242 0.2671 1560 82611
"14492" 82600016 280.993 371.942 287.727 NA NA 82611
"14493" 82600016 547.522 572.838 543.918 -0.0642 NA 82611
"14494" 82600018 561.685 579.858 546.069 -0.6031 1560 82611
"14495" 82600018 365.097 467.836 313.998 NA 2100 82611
"14496" 82600018 429.593 407.33 401.433 0.8954 1800 82611
"14497" 82600018 307.045 366.807 295.492 -0.2705 1860 82611
"14498" 82600018 284.122 484.636 310.931 NA NA 82611
"14499" 82600018 428.692 365.662 445.316 -1.1605 NA 82611
"14500" 82600018 346.326 284.561 390.019 0.1191 NA 82611
"14501" 82600018 405.178 549.219 577.37 -0.4016 1620 82611
"14502" 82600018 306.303 315.772 322.414 NA NA 82611
"14503" 82600018 421.382 389.518 410.927 NA 1485 82611
"14504" 82600018 486.978 464.007 518.737 -0.3979 1500 82611
"14505" 82600018 454.536 303.098 370.213 1.1076 1500 82611
"14506" 82600018 428.246 505.481 505.192 -1.1417 1620 82611
"14507" 82600018 432.979 389.332 330.493 -2.5582 1500 82611
"14508" 82600018 399.711 448.756 504.484 0.5479 NA 82611
"14509" 82600018 551.912 556.874 493.466 -0.556 1680 82611
"14510" 82600018 445.159 393.662 331.61 -2.6788 1200 82611
"14511" 82600018 527.18 421.826 431.207 NA 1620 82611
"14512" 82600018 310.568 298.954 227.606 -0.3713 NA 82611
"14513" 82600018 570.495 571.627 607.831 -1.0722 1620 82611
"14514" 82600018 351.816 344.418 351.373 0.8059 840 82611
"14515" 82600018 507.108 512.216 535.73 1.0034 1620 82611
"14516" 82600018 577.044 385.812 509.633 1.0762 NA 82611
"14517" 82600018 436.285 349.365 387.464 -1.2455 1250 82611
"14518" 82600019 532.841 526.925 520.648 NA NA 82611
"14519" 82600019 530.678 551.095 587.291 0.3573 NA 82611
"14520" 82600019 583.42 550.237 484.22 0.1237 1870 82611
"14521" 82600019 395.763 420.377 407.573 0.2533 NA 82611
"14522" 82600019 521.64 498.706 582.148 1.211 1925 82611
"14523" 82600019 409.745 518.817 474.892 0.8572 1650 82611
"14524" 82600019 550.678 411.728 498.712 0.5906 1320 82611
"14525" 82600019 392.036 412.812 352.835 0.5425 1925 82611
"14526" 82600019 623.119 604.785 634.458 -0.0936 1595 82611
"14527" 82600019 390.553 483.739 412.061 -0.1929 1595 82611
"14528" 82600019 350.657 408.654 421.391 -1.7655 NA 82611
"14529" 82600019 390.549 409.926 306.963 -0.723 NA 82611
"14530" 82600019 610.116 587.464 538.974 -0.2448 1595 82611
"14531" 82600019 591.768 496.92 516.596 0.8253 2200 82611
"14532" 82600019 482.128 440.145 505.778 0.595 1595 82611
"14533" 82600019 435.557 446.202 501.148 NA 1650 82611
"14534" 82600019 446.233 342.22 406.301 NA NA 82611
"14535" 82600019 448.377 524.276 450.424 0.1811 1650 82611
"14536" 82600019 474.031 515.916 519.181 -0.8148 2250 82611
"14537" 82600019 461.978 409.399 489.502 0.826 1650 82611
"14538" 82600019 530.18 605.15 546.47 -0.0166 1595 82611
"14539" 82600019 384.097 394.031 353.868 0.6262 1500 82611
"14540" 82600019 403.291 381.706 388.85 NA 1950 82611
"14541" 82600019 496.148 415.803 442.905 -0.7908 1200 82611
"14542" 82600019 537.959 562.123 608.95 0.9576 1595 82611
"14543" 82600019 520.493 503.989 484.586 0.7203 1800 82611
"14544" 82600019 406.028 413.31 421.193 -0.3952 1595 82611
"14545" 82600019 412.079 360.724 436.041 -0.1014 NA 82611
"14546" 82600019 339.852 343.867 347.358 -0.4171 1650 82611
"14547" 82600022 516.461 519.776 560.933 0.0156 720 82613
"14548" 82600022 555.9 500.87 526.165 1.5704 1500 82613
"14549" 82600022 485.274 371.736 415.634 -0.0316 1500 82613
"14550" 82600022 576.983 573.833 573.888 -0.1409 1500 82613
"14551" 82600022 604.757 579.398 603.323 0.9758 2100 82613
"14552" 82600022 485.817 532.593 491.328 -1.934 1500 82613
"14553" 82600022 570.015 610.262 672.123 1.416 1500 82613
"14554" 82600022 291.345 312.598 354.166 0.4677 NA 82613
"14555" 82600022 592.569 528.22 595.692 0.1792 2875 82613
"14556" 82600022 487.011 502.25 447.971 0.5923 1500 82613
"14557" 82600022 447.777 479.643 470.903 -0.187 NA 82613
"14558" 82600022 535.518 448.197 475.674 1.4683 1500 82613
"14559" 82600022 459.614 546.448 567.788 1.0424 1500 82613
"14560" 82600022 633.647 549.296 573.584 0.5905 NA 82613
"14561" 82600022 470.997 368.835 354.492 1.0749 1500 82613
"14562" 82600022 494.504 465.575 450.307 0.4905 1500 82613
"14563" 82600022 589.433 587.259 661.286 -0.0695 1500 82613
"14564" 82600022 506.627 515.446 523.918 1.0785 1500 82613
"14565" 82600022 420.342 360.676 408.982 1.2881 1500 82613
"14566" 82600022 629.78 563.908 600.874 0.9184 2100 82613
"14567" 82600022 559.631 582.88 528.797 0.3088 1500 82613
"14568" 82600022 552.255 557.825 566.574 0.5691 1500 82613
"14569" 82600022 445.45 420.753 457.556 -0.3399 1140 82613
"14570" 82600022 567.382 401.453 487.15 0.8889 1500 82613
"14571" 82600022 460.425 512.08 471.864 0.5738 NA 82613
"14572" 82600022 451.903 437.973 460.27 -0.4789 1500 82613
"14573" 82600022 495.119 455.022 471.273 0.4371 1500 82613
"14574" 82600022 526.916 501.877 562.888 0.7847 1500 82613
"14575" 82600022 598.117 635.407 643.227 -0.3044 1500 82613
"14576" 82600022 557.408 390.065 488.02 0.0255 NA 82613
"14577" 82600022 589.253 607.772 585.166 0.9671 1500 82613
"14578" 82600022 431.975 357.413 410.037 0.6816 NA 82613
"14579" 82600022 563.936 559.086 551.925 NA 1500 82613
"14580" 82600023 558.27 563.587 576.99 1.2429 1375 82611
"14581" 82600023 426.732 455.986 459.445 -0.4022 1500 82611
"14582" 82600023 635.639 665.612 658.104 0.9834 780 82611
"14583" 82600023 459.522 410.153 455.468 0.9762 2280 82611
"14584" 82600023 655.963 724.503 678.563 0.8089 1500 82611
"14585" 82600023 467.491 388.057 434.768 0.3561 1500 82611
"14586" 82600023 581.661 656.813 593.974 0.0942 1500 82611
"14587" 82600023 510.64 534.474 414.761 -0.1822 1500 82611
"14588" 82600023 563.34 460.213 542.702 0.0812 NA 82611
"14589" 82600023 551.755 491.483 494.995 0.2451 1200 82611
"14590" 82600023 480.379 352.432 382.56 -1.5518 NA 82611
